Country;Total Population using at least basic drinking-water services (%);Urban Population using at least basic drinking-water services (%);Rural Population using at least basic drinking-water services (%);Total Population using safely managed drinking-water services (%);Urban Population using safely managed drinking-water services (%);Rural Population using safely managed drinking-water services (%)
Turks_and_Caicos_islands;99;99;100;;;
Puerto_Rico;93;95;92;34;23;37
Uganda;20;28;17;;;16
Ukraine;98;98;97;72;69;
United_Arab_Emirates;99;;;99;;
United_Kingdom;99;99;99;98;99;94
United_Republic_of_Tanzania;32;47;23;26;35;22
United_States_Virgin_Islands;;;;;;
United_States_of_America;100;100;99;98;97;
Uruguay;98;98;99;;;
Uzbekistan;100;100;100;;;
Vanuatu;53;65;49;;;
Venezuela;96;;;23;;
Vietnam;89;96;85;;;
Western_Sahara;;;;;;
Yemen;54;79;39;19;61;
Zambia;32;41;25;;;24
Zimbabwe;35;42;32;26;16;30
